rating_id,dog_id,rater_dog_id,trick_id,rating_date,overall_paw_rating,tail_wags,treat_goals,rating_status
1,82,100,15,2024-04-18,1,Chased the goal like a squirrel,Increase spin velocity,Pending
2,15,68,11,2025-02-18,4,Chased the goal like a squirrel,Increase spin velocity,In Review
3,4,1,3,2024-04-10,4,Needs more belly rub motivation,Work on roll-over finesse,Pending
4,95,77,1,2024-12-31,5,Outstanding pawformance!,Increase spin velocity,In Review
5,36,42,15,2024-10-14,2,Wag-tastic!,Improve bark volume control,Pending
6,32,63,20,2024-01-01,4,Needs more belly rub motivation,Increase spin velocity,In Review
7,29,3,19,2024-03-20,4,Outstanding pawformance!,Improve bark volume control,Pending
8,18,15,4,2024-10-14,4,Could use more tail wags,Improve bark volume control,Completed
9,95,47,3,2023-05-01,2,Needs more belly rub motivation,Work on roll-over finesse,In Review
10,14,40,18,2023-06-12,2,Could use more tail wags,Add flair to the high five,Pending
11,87,31,7,2024-04-11,1,Outstanding pawformance!,Improve bark volume control,Pending
12,95,8,17,2023-09-17,1,Outstanding pawformance!,Increase spin velocity,Completed
13,70,31,9,2024-09-26,4,Outstanding pawformance!,Increase spin velocity,In Review
14,12,73,5,2025-01-06,2,Outstanding pawformance!,Improve bark volume control,In Review
15,76,11,12,2024-07-10,2,Chased the goal like a squirrel,Increase spin velocity,In Review
16,55,11,3,2024-11-21,5,Outstanding pawformance!,Nail the treat balance on nose,Completed
17,5,94,8,2024-09-04,4,Chased the goal like a squirrel,Work on roll-over finesse,In Review
18,4,63,12,2024-08-27,1,Wag-tastic!,Increase spin velocity,In Review
19,12,9,10,2023-05-22,5,Chased the goal like a squirrel,Work on roll-over finesse,Pending
20,28,98,6,2024-03-19,2,Could use more tail wags,Improve bark volume control,Pending
21,30,69,15,2023-10-01,1,Wag-tastic!,Improve bark volume control,Completed
22,65,99,18,2023-10-03,4,Could use more tail wags,Improve bark volume control,In Review
23,78,17,10,2023-04-08,2,Needs more belly rub motivation,Work on roll-over finesse,Pending
24,4,17,20,2024-10-25,4,Needs more belly rub motivation,Increase spin velocity,Completed
25,72,85,17,2023-08-30,5,Chased the goal like a squirrel,Nail the treat balance on nose,In Review
26,26,61,1,2024-02-12,5,Could use more tail wags,Work on roll-over finesse,Completed
27,92,71,18,2023-09-12,5,Needs more belly rub motivation,Nail the treat balance on nose,In Review
28,84,22,10,2025-01-19,3,Needs more belly rub motivation,Increase spin velocity,Pending
29,90,34,4,2023-11-12,4,Needs more belly rub motivation,Increase spin velocity,In Review
30,70,68,5,2024-03-13,5,Wag-tastic!,Work on roll-over finesse,In Review
31,54,78,9,2024-09-05,5,Wag-tastic!,Add flair to the high five,In Review
32,29,55,4,2023-11-28,4,Outstanding pawformance!,Nail the treat balance on nose,In Review
33,58,28,4,2023-07-02,5,Could use more tail wags,Improve bark volume control,Completed
34,76,70,18,2024-11-17,4,Needs more belly rub motivation,Nail the treat balance on nose,In Review
35,36,97,5,2023-08-11,2,Could use more tail wags,Increase spin velocity,Completed
36,1,94,9,2024-04-09,4,Outstanding pawformance!,Increase spin velocity,In Review
37,98,89,10,2024-10-30,4,Chased the goal like a squirrel,Work on roll-over finesse,In Review
38,21,26,20,2024-06-17,3,Outstanding pawformance!,Add flair to the high five,Completed
39,90,92,7,2025-03-12,2,Needs more belly rub motivation,Improve bark volume control,Pending
40,55,40,11,2023-11-19,3,Chased the goal like a squirrel,Nail the treat balance on nose,Pending
41,44,52,7,2024-03-02,5,Chased the goal like a squirrel,Add flair to the high five,Completed
42,36,86,9,2024-04-08,4,Outstanding pawformance!,Improve bark volume control,In Review
43,20,84,17,2023-06-19,2,Needs more belly rub motivation,Increase spin velocity,Pending
44,28,48,16,2024-03-06,3,Chased the goal like a squirrel,Increase spin velocity,In Review
45,98,57,9,2023-09-20,4,Outstanding pawformance!,Work on roll-over finesse,Completed
46,44,67,2,2024-03-08,1,Outstanding pawformance!,Work on roll-over finesse,Completed
47,14,58,3,2024-07-31,3,Needs more belly rub motivation,Nail the treat balance on nose,Pending
48,12,16,14,2024-02-15,2,Outstanding pawformance!,Add flair to the high five,Pending
49,49,32,9,2024-05-12,3,Outstanding pawformance!,Add flair to the high five,In Review
50,13,29,2,2025-01-04,3,Outstanding pawformance!,Improve bark volume control,Pending
51,46,9,1,2024-10-28,3,Could use more tail wags,Nail the treat balance on nose,Completed
52,45,44,11,2023-09-24,5,Wag-tastic!,Work on roll-over finesse,Completed
53,78,3,5,2024-12-17,1,Could use more tail wags,Nail the treat balance on nose,Completed
54,34,76,9,2023-10-19,2,Outstanding pawformance!,Increase spin velocity,In Review
55,6,71,6,2024-11-17,2,Wag-tastic!,Work on roll-over finesse,Pending
56,94,30,15,2024-02-11,2,Chased the goal like a squirrel,Add flair to the high five,In Review
57,59,76,18,2023-11-02,4,Could use more tail wags,Work on roll-over finesse,In Review
58,69,29,14,2024-09-05,2,Could use more tail wags,Increase spin velocity,Pending
59,16,1,18,2024-05-09,2,Could use more tail wags,Work on roll-over finesse,Completed
60,49,10,1,2023-10-27,1,Needs more belly rub motivation,Add flair to the high five,Pending
61,11,91,4,2023-04-09,4,Outstanding pawformance!,Increase spin velocity,Pending
62,71,81,3,2023-11-24,4,Chased the goal like a squirrel,Improve bark volume control,Pending
63,38,8,5,2023-07-17,3,Chased the goal like a squirrel,Nail the treat balance on nose,In Review
64,81,30,18,2024-10-25,5,Chased the goal like a squirrel,Improve bark volume control,Pending
65,80,9,2,2023-10-14,4,Outstanding pawformance!,Increase spin velocity,Completed
66,47,5,12,2024-06-25,4,Wag-tastic!,Increase spin velocity,Pending
67,74,43,19,2023-04-12,1,Could use more tail wags,Increase spin velocity,Completed
68,25,10,18,2023-10-07,2,Outstanding pawformance!,Add flair to the high five,Completed
69,91,66,5,2024-11-25,4,Could use more tail wags,Increase spin velocity,Completed
70,9,31,14,2024-08-01,4,Outstanding pawformance!,Nail the treat balance on nose,In Review
71,6,36,5,2024-11-30,5,Could use more tail wags,Add flair to the high five,In Review
72,85,86,2,2023-10-30,1,Outstanding pawformance!,Increase spin velocity,In Review
73,30,63,10,2025-03-07,5,Wag-tastic!,Add flair to the high five,Pending
74,99,28,12,2024-05-29,4,Chased the goal like a squirrel,Nail the treat balance on nose,In Review
75,38,70,2,2023-05-14,4,Could use more tail wags,Nail the treat balance on nose,Pending
76,11,17,12,2025-02-19,1,Outstanding pawformance!,Add flair to the high five,Completed
77,30,93,7,2023-12-18,3,Wag-tastic!,Work on roll-over finesse,Pending
78,13,74,8,2023-07-17,3,Wag-tastic!,Improve bark volume control,Completed
79,49,74,4,2024-02-09,4,Chased the goal like a squirrel,Increase spin velocity,Pending
80,36,61,12,2024-01-24,4,Outstanding pawformance!,Improve bark volume control,In Review
81,59,32,18,2024-03-19,5,Could use more tail wags,Nail the treat balance on nose,Completed
82,82,61,14,2025-02-17,5,Needs more belly rub motivation,Improve bark volume control,Pending
83,47,53,20,2023-08-20,5,Wag-tastic!,Work on roll-over finesse,Pending
84,21,25,5,2023-07-06,2,Wag-tastic!,Improve bark volume control,In Review
85,48,13,8,2024-05-01,4,Chased the goal like a squirrel,Improve bark volume control,In Review
86,46,13,6,2023-04-22,2,Outstanding pawformance!,Nail the treat balance on nose,In Review
87,27,85,6,2024-08-18,3,Needs more belly rub motivation,Nail the treat balance on nose,Pending
88,86,56,14,2023-07-20,4,Needs more belly rub motivation,Increase spin velocity,In Review
89,35,46,1,2024-11-20,4,Needs more belly rub motivation,Add flair to the high five,Pending
90,90,55,6,2024-07-10,1,Outstanding pawformance!,Increase spin velocity,In Review
91,88,53,11,2023-07-30,4,Could use more tail wags,Nail the treat balance on nose,Pending
92,83,60,14,2023-11-05,3,Wag-tastic!,Increase spin velocity,Completed
93,10,94,8,2023-12-14,4,Outstanding pawformance!,Improve bark volume control,In Review
94,78,7,9,2023-06-21,2,Needs more belly rub motivation,Improve bark volume control,Completed
95,82,87,6,2024-03-14,4,Wag-tastic!,Nail the treat balance on nose,Pending
96,22,84,4,2024-12-26,2,Wag-tastic!,Nail the treat balance on nose,Completed
97,69,83,13,2023-05-09,5,Needs more belly rub motivation,Increase spin velocity,In Review
98,94,13,2,2025-01-17,5,Needs more belly rub motivation,Increase spin velocity,In Review
99,32,8,16,2025-02-07,1,Wag-tastic!,Improve bark volume control,Pending
100,21,52,8,2023-08-19,4,Chased the goal like a squirrel,Add flair to the high five,In Review
101,60,94,7,2024-05-14,5,Wag-tastic!,Add flair to the high five,Completed
102,49,44,15,2024-01-27,5,Could use more tail wags,Nail the treat balance on nose,In Review
103,35,14,12,2024-07-31,1,Could use more tail wags,Increase spin velocity,Completed
104,82,32,10,2023-08-12,1,Chased the goal like a squirrel,Add flair to the high five,In Review
105,89,25,8,2025-03-24,4,Outstanding pawformance!,Increase spin velocity,Pending
106,72,25,8,2023-12-26,2,Wag-tastic!,Work on roll-over finesse,In Review
107,29,69,1,2024-09-26,4,Could use more tail wags,Improve bark volume control,Pending
108,88,58,7,2024-09-13,2,Wag-tastic!,Increase spin velocity,In Review
109,42,18,13,2024-11-28,1,Chased the goal like a squirrel,Increase spin velocity,Pending
110,99,55,11,2023-09-02,3,Needs more belly rub motivation,Increase spin velocity,Completed
111,100,24,9,2024-10-30,4,Chased the goal like a squirrel,Add flair to the high five,Completed
112,8,36,3,2024-03-20,3,Chased the goal like a squirrel,Increase spin velocity,Completed
113,30,60,9,2024-10-16,2,Chased the goal like a squirrel,Work on roll-over finesse,Completed
114,5,32,12,2024-12-19,4,Could use more tail wags,Add flair to the high five,Pending
115,41,10,17,2025-02-03,3,Chased the goal like a squirrel,Nail the treat balance on nose,Pending
116,52,57,13,2023-09-06,3,Needs more belly rub motivation,Nail the treat balance on nose,Completed
117,35,71,18,2025-03-20,4,Needs more belly rub motivation,Improve bark volume control,Completed
118,9,13,11,2024-08-25,3,Needs more belly rub motivation,Work on roll-over finesse,Completed
119,28,7,1,2024-02-20,4,Outstanding pawformance!,Increase spin velocity,In Review
120,73,84,4,2024-06-08,3,Chased the goal like a squirrel,Work on roll-over finesse,Completed
121,92,70,9,2023-09-01,1,Needs more belly rub motivation,Nail the treat balance on nose,Pending
122,41,2,6,2024-07-26,4,Outstanding pawformance!,Increase spin velocity,Pending
123,28,12,19,2023-09-10,1,Chased the goal like a squirrel,Work on roll-over finesse,Pending
124,84,97,9,2023-08-01,5,Chased the goal like a squirrel,Add flair to the high five,In Review
125,64,31,2,2023-07-17,1,Wag-tastic!,Increase spin velocity,In Review
126,51,22,4,2024-09-19,3,Chased the goal like a squirrel,Add flair to the high five,In Review
127,83,53,20,2024-01-11,2,Wag-tastic!,Work on roll-over finesse,In Review
128,59,63,14,2024-08-30,1,Could use more tail wags,Increase spin velocity,Pending
129,19,62,12,2024-04-26,1,Could use more tail wags,Improve bark volume control,In Review
130,34,28,11,2024-07-09,1,Outstanding pawformance!,Improve bark volume control,In Review
131,18,52,14,2023-05-20,2,Wag-tastic!,Nail the treat balance on nose,In Review
132,32,8,20,2023-09-05,2,Could use more tail wags,Increase spin velocity,Completed
133,96,22,17,2024-09-05,1,Could use more tail wags,Work on roll-over finesse,Pending
134,72,49,4,2023-04-08,5,Could use more tail wags,Improve bark volume control,In Review
135,69,1,13,2024-03-01,2,Chased the goal like a squirrel,Nail the treat balance on nose,Completed
136,34,50,19,2023-05-04,2,Wag-tastic!,Increase spin velocity,Pending
137,96,34,7,2023-05-28,2,Could use more tail wags,Improve bark volume control,In Review
138,75,59,9,2023-06-28,4,Wag-tastic!,Increase spin velocity,Pending
139,55,37,2,2024-03-30,1,Needs more belly rub motivation,Nail the treat balance on nose,Pending
140,75,55,14,2023-11-16,5,Needs more belly rub motivation,Work on roll-over finesse,Completed
141,52,90,1,2025-01-27,2,Chased the goal like a squirrel,Nail the treat balance on nose,In Review
142,47,94,17,2023-12-19,4,Needs more belly rub motivation,Work on roll-over finesse,Pending
143,29,72,18,2023-07-08,3,Outstanding pawformance!,Add flair to the high five,Completed
144,18,85,7,2024-03-03,3,Wag-tastic!,Improve bark volume control,Pending
145,66,92,12,2024-09-25,2,Could use more tail wags,Add flair to the high five,Pending
146,64,63,14,2023-06-09,5,Outstanding pawformance!,Work on roll-over finesse,Completed
147,12,20,3,2024-08-13,5,Outstanding pawformance!,Increase spin velocity,Pending
148,97,25,11,2024-11-27,1,Needs more belly rub motivation,Work on roll-over finesse,Completed
149,7,38,20,2023-08-08,2,Wag-tastic!,Work on roll-over finesse,In Review
150,15,28,11,2024-10-16,3,Could use more tail wags,Increase spin velocity,Pending
151,20,8,4,2024-09-02,1,Outstanding pawformance!,Add flair to the high five,In Review
152,81,75,10,2024-04-16,5,Chased the goal like a squirrel,Improve bark volume control,In Review
153,21,95,17,2024-09-25,1,Could use more tail wags,Work on roll-over finesse,Pending
154,88,70,10,2024-12-03,3,Needs more belly rub motivation,Work on roll-over finesse,Completed
155,55,8,14,2023-09-20,5,Wag-tastic!,Improve bark volume control,Pending
156,77,96,11,2024-05-03,4,Chased the goal like a squirrel,Work on roll-over finesse,Pending
157,9,41,13,2024-12-18,4,Could use more tail wags,Improve bark volume control,Completed
158,50,8,10,2024-10-18,2,Could use more tail wags,Improve bark volume control,Completed
159,49,7,18,2024-10-30,1,Outstanding pawformance!,Improve bark volume control,Pending
160,77,75,5,2023-05-27,5,Could use more tail wags,Increase spin velocity,Completed
161,60,62,7,2023-11-25,2,Wag-tastic!,Add flair to the high five,In Review
162,68,65,14,2024-05-17,1,Wag-tastic!,Add flair to the high five,Completed
163,33,68,13,2024-09-01,3,Could use more tail wags,Nail the treat balance on nose,In Review
164,71,21,6,2023-12-14,5,Outstanding pawformance!,Increase spin velocity,In Review
165,2,8,20,2023-06-05,1,Chased the goal like a squirrel,Nail the treat balance on nose,In Review
166,88,66,19,2024-12-09,5,Chased the goal like a squirrel,Add flair to the high five,Completed
167,93,11,10,2023-04-21,1,Outstanding pawformance!,Add flair to the high five,Completed
168,15,24,13,2024-05-05,3,Needs more belly rub motivation,Add flair to the high five,Pending
169,88,9,18,2023-10-08,5,Wag-tastic!,Work on roll-over finesse,Completed
170,69,77,1,2024-01-03,4,Needs more belly rub motivation,Nail the treat balance on nose,Completed
171,97,9,10,2024-07-03,3,Outstanding pawformance!,Increase spin velocity,In Review
172,35,87,10,2024-06-16,1,Needs more belly rub motivation,Nail the treat balance on nose,Completed
173,99,31,7,2023-12-21,5,Outstanding pawformance!,Add flair to the high five,Completed
174,83,52,14,2023-07-14,3,Chased the goal like a squirrel,Increase spin velocity,In Review
175,44,16,19,2024-01-21,1,Chased the goal like a squirrel,Nail the treat balance on nose,Completed
176,15,73,20,2024-08-28,4,Needs more belly rub motivation,Add flair to the high five,In Review
177,38,32,11,2025-03-20,4,Needs more belly rub motivation,Add flair to the high five,Completed
178,56,75,15,2024-01-09,1,Wag-tastic!,Increase spin velocity,Completed
179,21,77,15,2025-02-19,4,Chased the goal like a squirrel,Improve bark volume control,Pending
180,59,6,15,2023-08-31,3,Wag-tastic!,Increase spin velocity,Completed
181,1,80,7,2025-03-11,4,Needs more belly rub motivation,Improve bark volume control,In Review
182,93,11,17,2024-06-01,2,Outstanding pawformance!,Work on roll-over finesse,Completed
183,93,54,16,2023-11-19,4,Chased the goal like a squirrel,Increase spin velocity,Pending
184,34,85,6,2023-06-25,2,Outstanding pawformance!,Improve bark volume control,Completed
185,65,75,3,2024-08-21,5,Wag-tastic!,Nail the treat balance on nose,Completed
186,98,73,10,2023-08-29,3,Wag-tastic!,Add flair to the high five,In Review
187,23,67,17,2024-01-06,5,Could use more tail wags,Work on roll-over finesse,Pending
188,65,41,20,2024-04-08,5,Chased the goal like a squirrel,Increase spin velocity,Completed
189,14,34,11,2023-07-08,4,Chased the goal like a squirrel,Improve bark volume control,Completed
190,81,27,3,2024-09-02,4,Wag-tastic!,Nail the treat balance on nose,In Review
191,39,86,8,2024-05-24,4,Outstanding pawformance!,Improve bark volume control,Completed
192,82,92,10,2024-06-05,5,Chased the goal like a squirrel,Increase spin velocity,Completed
193,65,41,8,2024-11-15,3,Wag-tastic!,Improve bark volume control,Completed
194,78,31,7,2025-03-16,3,Could use more tail wags,Increase spin velocity,Pending
195,26,34,5,2023-04-27,2,Needs more belly rub motivation,Improve bark volume control,Completed
196,20,51,1,2023-09-06,1,Chased the goal like a squirrel,Add flair to the high five,In Review
197,48,17,2,2025-03-27,3,Needs more belly rub motivation,Increase spin velocity,Pending
198,98,86,8,2024-04-27,4,Outstanding pawformance!,Increase spin velocity,Completed
199,21,83,16,2024-10-11,2,Could use more tail wags,Work on roll-over finesse,Completed
200,70,39,20,2023-08-21,4,Chased the goal like a squirrel,Add flair to the high five,Pending
