dog_id,class_id,completion_date,enrollment_status,notes_from_trainer
54,10,2023-04-16,Expelled for zoomie chaos,Turns every command into a dance routine.
69,19,2023-08-31,Enrolled,Excels at napping mid-class.
96,12,2023-11-12,Completed,Tried to lead the class in a mutiny. Literally.
95,16,2023-04-30,Dropped,Refuses to sit unless dramatic music plays.
70,18,2024-10-02,Completed,Refuses to sit unless dramatic music plays.
78,17,2024-03-01,Dropped,Graduated summa bark laude from Treatology 101.
29,12,2023-06-30,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
63,14,2024-05-05,Expelled for zoomie chaos,Excels at napping mid-class.
29,18,2023-08-31,Enrolled,Excels at napping mid-class.
35,11,2024-04-23,Enrolled,Discovered hidden talent: interpretive howling.
56,12,2022-10-05,Completed,Takes zoomies very seriously. A+ for effort.
63,15,2022-10-20,Completed,Tried to lead the class in a mutiny. Literally.
4,9,2022-08-15,Dropped,Turns every command into a dance routine.
50,10,2022-06-28,Enrolled,Still thinks ‘roll over’ means protest nap.
44,9,2024-06-23,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
86,8,2024-12-01,Enrolled,Takes zoomies very seriously. A+ for effort.
87,4,2023-11-16,Completed,Turns every command into a dance routine.
52,7,2024-08-10,Enrolled,Will only heel to jazz music.
93,11,2024-02-20,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
22,4,2024-08-03,Enrolled,Turns every command into a dance routine.
60,18,2023-02-13,Completed,Excels at napping mid-class.
17,6,2024-08-21,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
80,7,2023-06-08,Dropped,Will only heel to jazz music.
69,7,2023-03-15,Dropped,Turns every command into a dance routine.
4,16,2023-11-15,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
51,9,2022-06-18,Expelled for zoomie chaos,Refuses to sit unless dramatic music plays.
76,19,2022-09-30,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
73,17,2023-09-25,Completed,Discovered hidden talent: interpretive howling.
85,20,2022-05-09,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
4,10,2025-03-24,Completed,Still thinks ‘roll over’ means protest nap.
11,4,2023-12-01,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
83,7,2022-05-27,Completed,Struggles with stay—too many tail distractions.
55,10,2024-03-08,Completed,Excels at napping mid-class.
18,8,2024-02-29,Enrolled,Struggles with stay—too many tail distractions.
60,12,2022-06-23,Dropped,Takes zoomies very seriously. A+ for effort.
24,6,2024-07-08,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
7,10,2025-03-05,Dropped,Refuses to sit unless dramatic music plays.
34,1,2023-05-22,Dropped,Turns every command into a dance routine.
49,18,2024-08-04,Enrolled,Graduated summa bark laude from Treatology 101.
42,5,2023-01-10,Dropped,Discovered hidden talent: interpretive howling.
28,9,2022-12-30,Dropped,Excels at napping mid-class.
59,2,2024-05-23,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
42,2,2024-02-17,Completed,Excels at napping mid-class.
44,18,2023-09-23,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
98,10,2024-02-05,Expelled for zoomie chaos,Will only heel to jazz music.
49,5,2022-10-30,Dropped,Refuses to sit unless dramatic music plays.
36,16,2023-03-16,Dropped,Refuses to sit unless dramatic music plays.
97,4,2022-06-01,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
54,1,2025-01-16,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
33,19,2023-12-14,Dropped,Tried to lead the class in a mutiny. Literally.
11,10,2024-02-28,Completed,Will only heel to jazz music.
61,16,2022-09-03,Completed,Discovered hidden talent: interpretive howling.
3,16,2023-02-18,Expelled for zoomie chaos,Excels at napping mid-class.
96,15,2024-06-08,Completed,Takes zoomies very seriously. A+ for effort.
70,11,2024-02-26,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
7,6,2023-11-07,Enrolled,Will only heel to jazz music.
45,2,2022-06-19,Dropped,Discovered hidden talent: interpretive howling.
29,9,2024-04-28,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
84,16,2024-07-07,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
9,4,2022-06-28,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
100,3,2024-12-16,Completed,Will only heel to jazz music.
84,13,2023-12-01,Expelled for zoomie chaos,Refuses to sit unless dramatic music plays.
6,16,2024-03-24,Enrolled,Graduated summa bark laude from Treatology 101.
97,3,2024-03-24,Completed,Tried to lead the class in a mutiny. Literally.
4,19,2023-03-02,Dropped,Tried to lead the class in a mutiny. Literally.
32,2,2024-07-02,Enrolled,Takes zoomies very seriously. A+ for effort.
26,5,2023-12-23,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
3,5,2023-02-07,Enrolled,Tried to lead the class in a mutiny. Literally.
80,19,2022-11-22,Expelled for zoomie chaos,Excels at napping mid-class.
20,10,2022-10-08,Enrolled,Refuses to sit unless dramatic music plays.
31,3,2023-03-14,Completed,Tried to lead the class in a mutiny. Literally.
17,8,2023-12-11,Expelled for zoomie chaos,Refuses to sit unless dramatic music plays.
61,4,2025-01-30,Completed,Struggles with stay—too many tail distractions.
86,18,2024-06-18,Enrolled,Discovered hidden talent: interpretive howling.
15,14,2023-05-28,Expelled for zoomie chaos,Will only heel to jazz music.
73,20,2024-08-24,Dropped,Struggles with stay—too many tail distractions.
28,20,2024-09-30,Dropped,Refuses to sit unless dramatic music plays.
60,20,2024-11-03,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
90,8,2023-09-09,Enrolled,Graduated summa bark laude from Treatology 101.
33,17,2022-04-18,Dropped,Refuses to sit unless dramatic music plays.
99,13,2023-04-30,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
48,15,2023-12-11,Dropped,Turns every command into a dance routine.
22,15,2022-07-18,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
78,10,2022-08-08,Enrolled,Excels at napping mid-class.
78,19,2023-05-26,Enrolled,Excels at napping mid-class.
96,14,2023-05-28,Completed,Still thinks ‘roll over’ means protest nap.
92,10,2022-07-07,Dropped,Still thinks ‘roll over’ means protest nap.
15,19,2023-10-29,Completed,Struggles with stay—too many tail distractions.
100,20,2023-02-10,Enrolled,Takes zoomies very seriously. A+ for effort.
21,2,2024-04-04,Expelled for zoomie chaos,Will only heel to jazz music.
40,20,2022-11-13,Enrolled,Excels at napping mid-class.
14,4,2024-02-02,Enrolled,Still thinks ‘roll over’ means protest nap.
75,7,2023-08-13,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
4,7,2022-07-21,Completed,Discovered hidden talent: interpretive howling.
40,9,2024-05-23,Dropped,Will only heel to jazz music.
74,3,2023-12-02,Enrolled,Refuses to sit unless dramatic music plays.
87,6,2025-03-08,Enrolled,Takes zoomies very seriously. A+ for effort.
49,8,2023-09-09,Dropped,Graduated summa bark laude from Treatology 101.
51,6,2025-01-16,Enrolled,Still thinks ‘roll over’ means protest nap.
92,18,2024-07-13,Dropped,Refuses to sit unless dramatic music plays.
26,3,2025-02-14,Dropped,Refuses to sit unless dramatic music plays.
10,6,2022-12-26,Dropped,Still thinks ‘roll over’ means protest nap.
76,1,2022-05-02,Expelled for zoomie chaos,Turns every command into a dance routine.
89,14,2022-04-04,Completed,Turns every command into a dance routine.
81,15,2023-10-06,Completed,Excels at napping mid-class.
32,20,2023-12-12,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
14,16,2022-07-01,Completed,Still thinks ‘roll over’ means protest nap.
90,10,2024-12-04,Completed,Excels at napping mid-class.
99,2,2025-03-14,Completed,Excels at napping mid-class.
39,8,2023-09-25,Enrolled,Struggles with stay—too many tail distractions.
88,10,2024-09-08,Expelled for zoomie chaos,Will only heel to jazz music.
77,10,2025-02-09,Completed,Tried to lead the class in a mutiny. Literally.
16,15,2024-07-25,Expelled for zoomie chaos,Excels at napping mid-class.
73,3,2025-03-01,Completed,Tried to lead the class in a mutiny. Literally.
6,8,2024-01-18,Completed,Graduated summa bark laude from Treatology 101.
45,9,2024-07-06,Expelled for zoomie chaos,Will only heel to jazz music.
69,19,2022-11-11,Dropped,Will only heel to jazz music.
55,7,2024-07-12,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
85,14,2022-07-28,Dropped,Struggles with stay—too many tail distractions.
48,4,2024-09-22,Enrolled,Turns every command into a dance routine.
9,18,2023-02-28,Expelled for zoomie chaos,Will only heel to jazz music.
65,8,2022-08-05,Dropped,Takes zoomies very seriously. A+ for effort.
83,5,2024-11-23,Completed,Graduated summa bark laude from Treatology 101.
44,9,2022-10-26,Enrolled,Still thinks ‘roll over’ means protest nap.
2,5,2022-04-24,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
54,3,2024-03-13,Dropped,Will only heel to jazz music.
63,2,2023-09-02,Dropped,Turns every command into a dance routine.
14,6,2022-11-02,Expelled for zoomie chaos,Excels at napping mid-class.
56,10,2022-07-22,Dropped,Excels at napping mid-class.
47,20,2024-02-15,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
82,19,2024-09-29,Dropped,Discovered hidden talent: interpretive howling.
59,10,2024-11-08,Completed,Turns every command into a dance routine.
91,15,2023-02-23,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
20,4,2024-04-09,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
56,15,2024-11-01,Enrolled,Turns every command into a dance routine.
23,10,2023-03-19,Completed,Struggles with stay—too many tail distractions.
94,13,2024-09-29,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
67,9,2024-12-20,Dropped,Turns every command into a dance routine.
84,17,2025-02-15,Dropped,Turns every command into a dance routine.
35,18,2023-09-10,Dropped,Excels at napping mid-class.
79,16,2023-10-02,Enrolled,Struggles with stay—too many tail distractions.
69,15,2024-12-10,Expelled for zoomie chaos,Turns every command into a dance routine.
100,3,2024-03-20,Dropped,Struggles with stay—too many tail distractions.
62,20,2022-05-20,Enrolled,Graduated summa bark laude from Treatology 101.
60,2,2024-05-06,Enrolled,Struggles with stay—too many tail distractions.
56,14,2023-11-13,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
94,11,2024-04-21,Dropped,Still thinks ‘roll over’ means protest nap.
76,20,2023-08-24,Completed,Excels at napping mid-class.
35,9,2025-02-01,Dropped,Excels at napping mid-class.
42,1,2022-05-15,Completed,Excels at napping mid-class.
32,3,2023-11-01,Completed,Excels at napping mid-class.
12,8,2024-12-22,Dropped,Turns every command into a dance routine.
36,19,2024-12-12,Completed,Excels at napping mid-class.
58,19,2024-04-15,Enrolled,Struggles with stay—too many tail distractions.
32,1,2022-10-09,Enrolled,Tried to lead the class in a mutiny. Literally.
97,9,2024-07-13,Dropped,Takes zoomies very seriously. A+ for effort.
60,19,2023-08-05,Expelled for zoomie chaos,Refuses to sit unless dramatic music plays.
73,2,2022-12-23,Enrolled,Will only heel to jazz music.
79,6,2024-06-26,Dropped,Takes zoomies very seriously. A+ for effort.
86,16,2023-08-16,Completed,Takes zoomies very seriously. A+ for effort.
49,17,2023-03-26,Enrolled,Struggles with stay—too many tail distractions.
44,15,2023-04-09,Dropped,Excels at napping mid-class.
4,9,2023-02-25,Dropped,Turns every command into a dance routine.
64,6,2024-03-05,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
42,19,2023-07-10,Completed,Turns every command into a dance routine.
24,14,2022-10-06,Completed,Refuses to sit unless dramatic music plays.
63,16,2022-11-20,Completed,Graduated summa bark laude from Treatology 101.
28,3,2024-02-21,Dropped,Will only heel to jazz music.
46,16,2023-05-12,Dropped,Graduated summa bark laude from Treatology 101.
34,12,2023-11-05,Completed,Struggles with stay—too many tail distractions.
44,14,2024-05-18,Dropped,Excels at napping mid-class.
36,11,2023-08-01,Expelled for zoomie chaos,Will only heel to jazz music.
77,11,2022-08-18,Dropped,Takes zoomies very seriously. A+ for effort.
90,4,2023-07-14,Dropped,Discovered hidden talent: interpretive howling.
36,6,2022-09-18,Enrolled,Tried to lead the class in a mutiny. Literally.
72,11,2022-11-12,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
2,14,2024-09-25,Enrolled,Discovered hidden talent: interpretive howling.
67,16,2023-10-18,Completed,Excels at napping mid-class.
25,10,2023-04-25,Completed,Struggles with stay—too many tail distractions.
11,13,2024-03-01,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
31,18,2023-11-22,Dropped,Struggles with stay—too many tail distractions.
93,2,2024-12-26,Enrolled,Excels at napping mid-class.
53,15,2023-02-19,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
63,3,2022-04-17,Enrolled,Will only heel to jazz music.
72,11,2022-11-15,Dropped,Discovered hidden talent: interpretive howling.
98,9,2023-11-19,Enrolled,Turns every command into a dance routine.
31,11,2025-01-21,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
89,4,2025-02-27,Dropped,Will only heel to jazz music.
61,13,2023-04-17,Dropped,Will only heel to jazz music.
83,17,2025-02-09,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
92,1,2024-12-15,Dropped,Refuses to sit unless dramatic music plays.
63,18,2023-07-23,Enrolled,Will only heel to jazz music.
58,15,2023-08-22,Completed,Graduated summa bark laude from Treatology 101.
3,14,2022-09-28,Expelled for zoomie chaos,Refuses to sit unless dramatic music plays.
12,2,2022-09-15,Enrolled,Tried to lead the class in a mutiny. Literally.
38,7,2024-09-23,Dropped,Graduated summa bark laude from Treatology 101.
29,17,2023-08-29,Completed,Graduated summa bark laude from Treatology 101.
52,12,2025-01-24,Enrolled,Struggles with stay—too many tail distractions.
89,20,2024-12-03,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
32,16,2022-05-27,Dropped,Refuses to sit unless dramatic music plays.
